Topic,Word,POS,IPA,Pinyin,Meaning,Example,Translation,ImageURL
Nhà bếp,Spoon,n,/spuːn/,sháo zi,"Muỗng, thìa",I eat soup with a spoon.,Tôi ăn súp bằng muỗng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759253602/Spoon_g3oz88.png
Đồ trang sức,Earring,n,/ˈɪə.rɪŋ/,ěr huán,Bông tai,Anna wears beautiful gold earrings.,Anna đeo đôi bông tai vàng xinh đẹp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254184/Earring_ij1cxg.png
Đồ trang sức,Necklace,n,/ˈnek.ləs/,xiàng liàn,Dây chuyền,Mom wears a pearl necklace to the party.,Mẹ đeo vòng cổ ngọc trai đi dự tiệc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254269/Necklace_thikn2.png
Đồ trang sức,Bracelet,n,/ˈbreɪ.slət/,shǒu liàn,Vòng tay,Grandma gives me a silver bracelet.,Bà tặng tôi một chiếc vòng tay bạc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254181/Bracelet_j7gz08.png
Đồ trang sức,Brooch,n,/brəʊtʃ/,xiōng zhēn,Trâm cài,She pins a brooch on her dress.,Cô ấy cài trâm lên váy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254183/Brooch_hwdmow.png
Đồ trang sức,Hair clip,n. phr,/ ˈHeə ˌklɪp /,fǎ jiá,Kẹp tóc,The girl wears a pink hair clip.,Cô bé đeo kẹp tóc màu hồng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254186/Hair-clip_mfitzs.png
Đồ trang sức,Wedding ring,n. phr,/ˈwed.ɪŋ ˌrɪŋ/,jié hūn jiè zhǐ,Nhẫn cưới,Dad wears his wedding ring every day.,Ba đeo nhẫn cưới mỗi ngày.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254283/Wedding-ring_kelmpf.png
Đồ trang sức,Jeweler,n,/ˈdʒuː.ə.lɚ/,zhū bǎo shāng,Thợ kim hoàn,The jeweler cleans the diamond rings.,Thợ kim hoàn đánh bóng những chiếc nhẫn kim cương.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254190/Jeweler_a4mf2l.png
Đồ trang sức,Jewelry store,n. phr,/ˈdʒuː.əl.ri stɔː r /,zhū bǎo diàn,Cửa hàng trang sức,Mom visits the jewelry store on her birthday.,Mẹ ghé cửa hàng trang sức vào sinh nhật.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254263/Jewelry-store_ftjtdt.png
Đồ trang sức,Anklet,n,/ˈæŋ.klət/,jiǎo liàn,Vòng chân,She wears a small anklet on her leg.,Cô ấy đeo vòng chân nhỏ ở cổ chân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254179/Anklet_glw7dy.png
Đồ trang sức,Noble,adj,/ˈnəʊ.bəl/,gāo guì,Quý,She looks noble in that elegant dress.,Cô ấy trông quý phái trong bộ váy sang trọng đó.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254271/Noble_fhpsnh.png
Đồ trang sức,Luxurious,adj,/lʌɡˈʒʊə.ri.əs/,háo huá,"Sang trọng, xa hoa",The necklace looks luxurious and shiny.,Sợi dây chuyền trông sang trọng và lấp lánh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254265/Luxurious_djukiv.png
Đồ trang sức,Modern,adj,/ˈmɒd.ən/,xiàn dài,Hiện đại,This modern ring design is popular now.,Mẫu nhẫn hiện đại này đang thịnh hành.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254267/Modern_vnnmlu.png
Đồ trang sức,Suitable,adj,/ˈsuː.tə.bəl/,hé shì,"Phù hợp, thích hợp",That bracelet is suitable for young girls.,Chiếc vòng tay đó phù hợp cho các cô gái trẻ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254277/Suitable_ywsfu5.png
Đồ trang sức,Twinkle,v,/ˈtwɪŋ.kəl/,shǎn shuò,Lấp lánh,The diamond twinkles under the light.,Viên kim cương lấp lánh dưới ánh đèn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254280/Twinkle_zmtvsw.png
Đồ trang sức,Bead,n,/biːd/,zhū zi,Hạt (của chuỗi hạt),She makes a bracelet with colorful beads.,Cô ấy làm vòng tay bằng hạt nhiều màu sắc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254180/Bead_fubyfs.png
Đồ trang sức,Hair tie,n. phr,/ˈheə ˌtaɪ/,fǎ pí dài,Dây buộc tóc,I use a hair tie to tie my hair.,Tôi dùng dây buộc tóc để cột tóc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254188/Hair-tie_lfgv3j.png
Đồ trang sức,Pocket watch,n. phr,/ˈpɒk.ɪt wɒtʃ/,huái biǎo,Đồng hồ bỏ túi,Grandpa checks the time on his pocket watch.,Ông xem giờ trên đồng hồ bỏ túi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254273/Pocket-watch_auw9tl.png
Đồ trang sức,Tiepin,n,/ˈtaɪ.pɪn/,lǐng dài zhēn,Ghim cà vạt,Dad wears a silver tiepin to work.,Ba đeo kẹp cà vạt bạc khi đi làm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254279/Tiepin_o24ctm.png
Đồ trang sức,Precious stone,n. phr,/ˌpreʃ.əs ˈstəʊn/,bǎo shí,Đá quý,The ring has a red precious stone.,Chiếc nhẫn có viên đá quý màu đỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759254275/Precious-stone_qb26ge.png
Môi trường,Land,n,/lænd/,lù dì,"Đất, đất đai",Farmers grow rice on the flat land.,Nông dân trồng lúa trên mảnh đất bằng phẳng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343879/Land_q9unqt.png
Môi trường,Pollute,v,/pəˈluːt/,wū rǎn,Làm ô nhiễm,Factories pollute the river with waste.,Các nhà máy làm ô nhiễm con sông bằng chất thải.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343881/Pollute_zdc00c.png
Môi trường,Decompose,v,/ˌdiː.kəmˈpəʊz/,fēn jiě,Phân hủy,Leaves decompose and become soil.,Lá cây phân hủy và trở thành đất.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343878/Decompose_wfepaz.png
Môi trường,Balance,n,/ˈbæl.əns/,píng héng,Sự cân bằng,We need to keep a balance in nature.,Chúng ta cần giữ sự cân bằng trong tự nhiên.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343878/Balance_jcif6k.png
Môi trường,Climate change,n. phr,/ˈklaɪ.mət ˌtʃeɪndʒ/,qì hòu biàn huà,Biến đổi khí hậu,Climate change makes the Earth hotter.,Biến đổi khí hậu khiến Trái Đất nóng hơn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343877/Climate-change_uecqh3.png
Môi trường,Global warming,n. phr,/ˌɡləʊ.bəl ˈwɔː.mɪŋ/,quán qiú nuǎn huà,Nóng lên toàn cầu,Global warming melts the ice in the Arctic.,Hiện tượng nóng lên toàn cầu làm tan băng ở Bắc Cực.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343879/Global-warming_iqkuzw.png
Môi trường,Oil slick,n. phr,/ˈɔɪl ˌslɪk/,yóu zhàn,Dầu loang,The oil slick spreads across the sea.,Vệt dầu loang lan khắp mặt biển.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343879/Oil-slick_ot2kwy.png
Môi trường,Ozone layer,n. phr,/ˈəʊ.zəʊn ˌleɪ.ər/,ōu zōng céng,Tầng ozon,The ozone layer protects us from UV rays.,Tầng ôzôn bảo vệ chúng ta khỏi tia cực tím.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343879/Ozone-layer_a7iyir.png
Môi trường,Biodiversity,n,/ˌbaɪ.əʊ.daɪˈvɜː.sə.ti/,shēng wù duō yàng xìng,Đa dạng sinh học,Biodiversity keeps nature healthy.,Đa dạng sinh học giúp thiên nhiên khỏe mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343877/Biodiversity_t6hyy3.png
Môi trường,Ecology,n,/iˈkɒl.ə.dʒi/,shēng tài xué,Sinh thái học,Students study ecology in science class.,Học sinh học về sinh thái trong tiết khoa học.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343878/Ecology_gxbfqz.png
Môi trường,Water,n,/ˈwɔː.tər/,shuǐ,Nước,Clean water is important for life.,Nước sạch rất quan trọng cho sự sống.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343881/Water_dn7bon.png
Môi trường,Air,n,/eər/,kōng qì,Không khí,Fresh air makes people feel better.,Không khí trong lành khiến con người thấy dễ chịu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343877/Air_juwatr.png
Môi trường,Forest,n,/ˈfɒr.ɪst/,sēn lín,Rừng,We must protect the green forests.,Chúng ta phải bảo vệ những khu rừng xanh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343877/Forest_fq95u1.png
Môi trường,Flora,n,/ˈflɔː.rə/,zhí wù qún,Hệ thực vật,The flora in this area is very rich.,Hệ thực vật ở khu vực này rất phong phú.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343877/Flora_ijryzj.png
Môi trường,Creature,n,/ˈkriː.tʃər/,shēng wù,Sinh vật,All creatures need food and water.,Mọi sinh vật đều cần thức ăn và nước.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343878/Creature_xwpm6n.png
Môi trường,Insect,n,/ˈɪn.sekt/,kūn chóng,Côn trùng,Bees are helpful insects for flowers.,Ong là loài côn trùng có ích cho hoa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343879/Insect_nprqcc.png
Môi trường,Reproduction,n,/ˌriː.prəˈdʌk.ʃən/,fán zhí,Sự sinh sản,Reproduction helps animals continue their species.,Sự sinh sản giúp động vật duy trì giống loài.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343880/Reproduction_s1oijl.png
Môi trường,Wildlife,n,/ˈwaɪld.laɪf/,yě shēng dòng wù,Động vật hoang dã,We saw a lot of wildlife in the forest.,Chúng tôi thấy nhiều động vật hoang dã trong rừng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343880/Wildlife_mfzudl.png
Môi trường,Sewage,n,/ˈsuː.ɪdʒ/,fèi shuǐ,Nước thải,The city must treat sewage before release.,Thành phố phải xử lý nước thải trước khi xả ra.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343880/Sewage_iap0vx.png
Môi trường,Fauna,n,/ˈfɔː.nə/,dòng wù qún,Hệ động vật,The fauna here includes birds and monkeys.,Hệ động vật ở đây gồm có chim và khỉ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343878/Fauna_gkjbv0.png
Phòng khách,Drapes,n,/dreɪps/,chuāng lián,Màn cửa,I open the drapes every morning.,Tôi mở rèm mỗi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343952/Drapes_iy5lwt.png
Phòng khách,Cushion,n,/ˈkʊʃ.ən/,kào zhěn,Đệm ngồi,She puts a cushion on the chair.,Cô ấy đặt gối tựa lên ghế.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343950/Cushion_c4wyns.png
Phòng khách,Sofa,n,/ˈsəʊ.fə/,shā fā,Ghế sô-pha,We relax on the sofa after dinner.,Chúng tôi nghỉ ngơi trên ghế sofa sau bữa tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343959/Sofa_cr7efl.png
Phòng khách,Rug,n,/ rʌɡ /,dì tǎn,Tấm thảm,There is a rug under the coffee table.,Có một tấm thảm dưới bàn cà phê.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343959/Rug_bth12n.png
Phòng khách,Banister,n,/ˈbæn.ɪ.stər/,lóu tī fú shǒu,Lan can,He holds the banister while walking down the stairs.,Anh ấy vịn lan can khi đi xuống cầu thang.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343946/Banister_jsfsjw.png
Phòng khách,Bookcase,n,/ˈbʊk.keɪs/,shū jià,Tủ sách,The bookcase is full of old novels.,Giá sách đầy những tiểu thuyết cũ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343946/Bookcase_qkgywx.png
Phòng khách,Ceiling,n,/ˈsiː.lɪŋ/,tiān huā bǎn,Trần nhà,The ceiling is painted white.,Trần nhà được sơn màu trắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343947/Ceiling_oidd49.png
Phòng khách,Clock,n,/klɒk/,zhōng,Đồng hồ treo tường,A clock hangs above the door.,Đồng hồ treo trên cửa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343948/Clock_bhsvqn.png
Phòng khách,Desk,n,/desk/,shū zhuō,Bàn làm việc,I keep my laptop on the desk.,Tôi để laptop trên bàn làm việc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343951/Desk_sous6k.png
Phòng khách,Frame,n,/freɪm/,zhào piàn kuàng,"Khung (ảnh, cửa)",The photo is in a wooden frame.,Bức ảnh được lồng trong khung gỗ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343953/Frame_jy3qs7.png
Phòng khách,Lampshade,n,/ˈlæmp.ʃeɪd/,dēng zhào,Chụp đèn,The lampshade is made of paper.,Chụp đèn được làm bằng giấy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343956/Lampshade_b7gvmp.png
Phòng khách,Mantelpiece,n,/ˈmæn.təl.piːs/,huǒ lú tái,Bệ lò sưởi,There are candles on the mantelpiece.,Có vài cây nến trên bệ lò sưởi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343956/Mantelpiece_zcemrl.png
Phòng khách,Painting,n,/ˈpeɪn.tɪŋ/,huà,Bức tranh,She buys a painting for her living room.,Cô ấy mua một bức tranh cho phòng khách.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343957/Painting_jn3nrv.png
Phòng khách,Remote control,n. phr,rɪˌməʊt kənˈtrəʊl/,yáo kòng qì,Điều khiển từ xa,I can’t find the remote control.,Tôi không tìm thấy điều khiển từ xa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343958/Remote-control_nfzqbr.png
Phòng khách,Speaker,n,/ˈspiː.kər/,yáng shēng qì,Loa,The speaker plays loud music.,Loa phát nhạc rất to.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343960/Speaker_hz0qiz.png
Phòng khách,Step,n,/step/,jiē tī,Bậc thang,Be careful on the last step.,Hãy cẩn thận ở bậc thang cuối cùng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343961/Step_tnvah4.png
Phòng khách,Stereo system,n. phr,/ˈster.i.əʊ ˈsɪs.təm/,yīn xiǎng xì tǒng,Dàn máy hát (có loa),My stereo system is very powerful.,Hệ thống âm thanh của tôi rất mạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343964/Stereo-system_xfb7pr.png
Phòng khách,Stereo,n,/ˈster.i.əʊ/,yīn xiǎng,Máy xtê-rê-ô,I listen to music on my stereo.,Tôi nghe nhạc bằng dàn máy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343963/Stereo_sshp38.png
Phòng khách,Television,n,/ˈtel.ɪ.vɪʒ.ən/,diàn shì,Ti vi,The television is on the wall.,Tivi được gắn trên tường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343968/Television_qewdlr.png
Phòng khách,Vase,n,/vɑːz/,huā píng,"Cái bình, lọ",She puts flowers in a glass vase.,Cô ấy cắm hoa trong lọ thủy tinh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343969/Vase_h7azcb.png
Phòng khách,Wall unit,n. phr,/wɔːl ˈjuː.nɪt/,qiáng guì,Tủ tường,The wall unit has many drawers.,Tủ âm tường có nhiều ngăn kéo.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343971/Wall-unit_rcvt4a.png
Phòng khách,Lamp,n,/læmp/,dēng,Đèn,The lamp gives soft light at night.,Đèn bàn phát ánh sáng dịu vào ban đêm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343955/Lamp_nuwaqv.png
Phòng khách,Calendar,n,/ˈkæl.ən.dər/,rì lì,Lịch,We mark the dates on the calendar.,Chúng tôi đánh dấu ngày trên lịch.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343947/Calendar_fauqmy.png
Phòng khách,Fan,n,/fæn/,shàn zi,Cái quạt,The fan keeps the room cool.,Quạt giúp phòng mát mẻ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343952/Fan_tlg2ta.png
Phòng khách,Chair,n,/tʃeər/,yǐ zi,Cái ghế,He sits on a chair by the window.,Anh ấy ngồi trên ghế cạnh cửa sổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343948/Chair_m5659m.png
Phòng khách,Stool,n,/stuːl/,dèng zi,Ghế đẩu,I use a stool to reach the top shelf.,Tôi dùng ghế đẩu để với tới kệ cao.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343965/Stool_pvefta.png
Phòng khách,Ashtray,n,/ˈæʃ.treɪ/,yān huī gāng,Đồ gạt tàn thuốc,Don’t throw ashes in the ashtray.,Đừng đổ tro ra ngoài gạt tàn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343946/Ashtray_qyavns.png
Phòng khách,Bookshelf,n,/ˈbʊk.ʃelf/,shū jià,Kệ sách,The bookshelf is next to the desk.,Kệ sách ở cạnh bàn làm việc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343947/Bookshelf_wiquv1.png
Phòng khách,Fuse,n,/fjuːz/,róng duàn qì,Cầu chì,The fuse needs to be replaced.,Cầu chì cần được thay.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343955/Fuse_sv2srj.png
Phòng khách,Switch,n,/swɪtʃ/,kāi guān,Công tắc,Turn on the light with this switch.,Bật đèn bằng công tắc này.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343967/Switch_ky4lc6.png
Phòng khách,Couch,n,/kaʊtʃ/,shā fā,Trường kỷ,The couch is big and comfortable.,Ghế bành lớn và rất thoải mái.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343950/Couch_uye8ot.png
Phòng khách,Curtain,n,/ˈkɜː.tən/,chuāng lián,Rèm cửa,The curtain matches the wall color.,Rèm cửa hợp với màu tường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759343950/Curtain_hi4bxk.png
Bệnh viện,Radiologist,n,/ˌreɪ.diˈɒl.ə.dʒɪst/,fáng shè kē yī shēng,Bác sĩ chụp X-quang,The radiologist checks my X-ray.,Bác sĩ X-quang kiểm tra phim chụp của tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344038/Radiologist_byt8co.png
Bệnh viện,Emergency room,n. phr,/ɪˈmɜː.dʒən.si ˌruːm/,jí zhěn shì,Phòng cấp cứu,He was taken to the emergency room.,Anh ấy được đưa vào phòng cấp cứu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344025/Emergency-room_rpqaaf.png
Bệnh viện,Obstetrician,n,/ˌɒb.stəˈtrɪʃ.ən/,chǎn kē yī shēng,Bác sĩ sản khoa,The obstetrician helps women give birth.,Bác sĩ sản khoa giúp phụ nữ sinh con.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344033/Obstetrician_txrotm.png
Bệnh viện,Operating room,n. phr,/ˈɒp.ər.eɪ.tɪŋ ˌruːm/,shǒu shù shì,Phòng phẫu thuật,The nurse prepares the operating room.,Y tá chuẩn bị phòng phẫu thuật.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344035/Operating-room_vjzh6m.png
Bệnh viện,Needle,n,/ˈniː.dəl/,zhēn,Kim tiêm,The doctor uses a needle to take blood.,Bác sĩ dùng kim để lấy máu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344031/Needle_1_tezvkg.png
Bệnh viện,Laboratory,n,/ləˈbɒr.ə.tər.i/,shí yàn shì,Phòng thí nghiệm,The laboratory tests my blood sample.,Phòng thí nghiệm kiểm tra mẫu máu của tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344030/Laboratory_thhfhm.png
Bệnh viện,Pharmacy,n,/ˈfɑː.mə.si/,yào diàn,Tiệm thuốc,I buy medicine from the pharmacy.,Tôi mua thuốc ở hiệu thuốc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344038/Pharmacy_ceyhae.png
Bệnh viện,Hospital bed,n. phr,/ˈhɒs.pɪ.təl bed/,bìng chuáng,Giường bệnh,The patient lies on the hospital bed.,Bệnh nhân nằm trên giường bệnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344028/Hospital-bed_qdtaef.png
Bệnh viện,Call button,n. phr,/kɔːl ˈbʌt.ən/,hū jiào niǔ,Chuông gọi (y tá),Press the call button if you need help.,Nhấn nút gọi nếu bạn cần giúp đỡ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344020/Call-button_tsrrty.png
Bệnh viện,Doctor,n,/ˈdɒk.tər/,yī shēng,Bác sĩ,The doctor examines the patient.,Bác sĩ khám cho bệnh nhân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344025/Doctor_vn4bv6.png
Bệnh viện,Nurse,n,/nɜːs/,hù shì,Y tá,The nurse gives me an injection.,Y tá tiêm cho tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344032/Nurse_aynfge.png
Bệnh viện,Gurney,n,/ˈɡɜː.ni/,tuī chuáng,Xe đẩy tay,They push the gurney down the hall.,Họ đẩy cáng đi dọc hành lang.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344026/Gurney_d32ro8.png
Bệnh viện,Waiting room,n. phr,/ˈweɪ.tɪŋ ˌruːm/,děng hòu shì,Phòng chờ,We wait in the waiting room.,Chúng tôi chờ ở phòng đợi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344047/Waiting-room_ilhwme.png
Bệnh viện,Surgeon,n,/ˈsɜː.dʒən/,shǒu shù yī shēng,Bác sĩ phẫu thuật,The surgeon performs the operation.,Bác sĩ phẫu thuật thực hiện ca mổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344044/Surgeon_xxisw9.png
Bệnh viện,Midwife,n,/ˈmɪd.waɪf/,zhù chǎn shī,Bà đỡ,The midwife helps with the delivery.,Nữ hộ sinh hỗ trợ ca sinh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344031/Midwife_dhwbfj.png
Bệnh viện,Injection,n,/ɪnˈdʒek.ʃən/,zhù shè,Việc tiêm thuốc,I feel pain after the injection.,Tôi thấy đau sau khi tiêm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344029/Injection_ol7kpu.png
Bệnh viện,Calcium,n,/ˈkæl.si.əm/,gài,Canxi,Calcium is good for your bones.,Canxi tốt cho xương của bạn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344021/Calcium_fo0ujo.png
Bệnh viện,Hospital,n,/ˈhɒs.pɪ.təl/,yī yuàn,Bệnh viện,The hospital is clean and quiet.,Bệnh viện sạch sẽ và yên tĩnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344027/Hospital_p7houv.png
Bệnh viện,Crutch,n,/krʌtʃ/,zhàng gùn,Cái nạng,He walks with a crutch after surgery.,Anh ấy đi bằng nạng sau khi mổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344023/Crutch_ikmejq.png
Bệnh viện,Wheelchair,n,ˈwiːl.tʃeər/,lún yǐ,Xe lăn,The nurse pushes the wheelchair.,Y tá đẩy xe lăn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344048/Wheelchair_on4auh.png
Bệnh viện,Paramedic,n,/ˌpær.əˈmed.ɪk/,jí jiù yuán,Nhân viên y tế,The paramedic gives first aid.,Nhân viên y tế cấp cứu sơ cứu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344036/Paramedic_a9b66d.png
Bệnh viện,Stretcher,n,/ˈstretʃ.ər/,shù jià,Cáng cứu thương,They carry the patient on a stretcher.,Họ khiêng bệnh nhân bằng cáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344042/Stretcher_lrswsm.png
Bệnh viện,Rush,n,/rʌʃ/,jǐn jí,"Đưa đi, chuyển đi (nhanh)",The ambulance rushes to the hospital.,Xe cứu thương lao nhanh đến bệnh viện.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344040/Rush_pusblw.png
Bệnh viện,Treat,v,/triːt/,zhì liáo,"Điều trị, chữa trị",Doctors treat patients with care.,Các bác sĩ chữa bệnh cho bệnh nhân tận tâm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344046/Treat_wyvkiu.png
Bệnh viện,Condition,n,/kənˈdɪʃ.ən/,bìng qíng,Tình trạng,Her condition is getting better.,Tình trạng của cô ấy đang tốt lên.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344022/Condition_fmz9gx.png
Bệnh viện,Recovery,n,/rɪˈkʌv.ər.i/,huī fù,Sự bình phục,He is in recovery after surgery.,Anh ấy đang hồi phục sau ca mổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344039/Recovery_pnmnxl.png
Bệnh viện,Suffer,v,/ˈsʌf.ər/,shòu kǔ,Chịu đựng,Many people suffer from flu in winter.,Nhiều người bị cúm vào mùa đông.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344042/Suffer_peqpsq.png
Bệnh viện,Deteriorate,v,/dɪˈtɪə.ri.ə.reɪt/,è huà,"Xấu đi, tệ hơn",His health started to deteriorate.,Sức khỏe của anh ấy bắt đầu xấu đi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344024/Deteriorate_enrgxj.png
Bệnh viện,Coma,n,/ˈkəʊ.mə/,hūn mí,Sự hôn mê,The patient is in a coma.,Bệnh nhân đang hôn mê.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344021/Coma_fxqpjt.png
Bệnh viện,Common cold,n. phr,ˌkɒm.ən ˈkəʊld/,gǎn mào,Bệnh cảm lạnh thông thường,I have a common cold.,Tôi bị cảm lạnh thông thường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344021/Common-cold_nwdpbk.png
Máy tính,Monitor,n,/ˈmɒn.ɪ.tər/,xiǎn shì qì,Màn hình,I look at the monitor all day.,Tôi nhìn màn hình cả ngày.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344095/Monitor_lgfg48.png
Máy tính,Mouse pad,n. phr,/ˈmaʊs ˌpæd/,shǔ biāo diàn,Tấm lót chuột,She moves the mouse on the mouse pad.,Cô ấy di chuột trên tấm lót chuột.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344099/Mouse-pad_kjkznz.png
Máy tính,Printer,n,/ˈprɪn.tər/,dǎ yìn jī,Máy in,We print the report with the printer.,Chúng tôi in báo cáo bằng máy in.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344103/Printer_c1avoj.png
Máy tính,Scanner,n,/ˈskæn.ər/,sǎo miáo yí,Máy quét,The scanner copies the document.,Máy quét sao chép tài liệu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344108/Scanner_udhog8.png
Máy tính,Open,v,/ˈəʊ.pən/,dǎ kāi,"Khởi động, mở",Click “Open” to start the file.,Nhấn “Mở” để bắt đầu tệp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344100/Open_nknwlr.png
Máy tính,Close,v,/kləʊz/,guān bì,"Đóng, tắt",Close the window after using it.,Đóng cửa sổ sau khi sử dụng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344077/Close_w3swsh.png
Máy tính,Delete,v,/dɪˈliːt/,shān chú,"Xóa, loại bỏ",I delete old files to save space.,Tôi xóa tệp cũ để tiết kiệm dung lượng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759344082/Delete_qtbj11.png
